smiles,Vir_shifts,Ctype,score,DBindex
CC=C(C)C(=O)OC1C(O)C(CO)OC(OCCCc2ccc(O)c(O)c2)C1O,"[ 15.892436 137.28165  128.084     16.322922 168.7864    76.424904
  68.74355   78.17138   62.315086 104.836296  70.8653    29.436548
  31.552847 135.42038  121.085625 115.665924 144.78322  146.0286
 116.53715   69.996124]","['q' 'd' 's' 'q' 's' 'd' 'd' 'd' 't' 'd' 't' 't' 't' 's' 'd' 'd' 's' 's'
 'd' 'd']",61.64020457584438,71657
O=C(C=Cc1ccc(O)c(O)c1)OC1C(OC2CCCCC2O)OC(CO)C(O)C1O,"[167.42575  116.14643  145.06876  127.53197  121.594444 115.664215
 147.43082  147.34993  114.872     73.12612  101.256454  80.33887
  29.376972  22.579102  22.178932  31.021511  71.54394   78.47611
  62.116558  70.37994   75.02085 ]","['s' 'd' 'd' 's' 'd' 'd' 's' 's' 'd' 'd' 'd' 'd' 't' 't' 't' 't' 'd' 'd'
 't' 'd' 'd']",61.46699858423437,58517
O=C(Cc1ccc(O)c(O)c1)OCC1OC(OCCc2ccc(O)c(O)c2)C(O)C(O)C1O,"[175.69574   40.829224 125.659996 121.43597  116.24283  146.33467
 146.77554  116.91536   64.07702   74.71653  104.30433   72.094444
  36.130466 130.08572  121.66938  116.45262  145.91617  147.04498
 117.67656   73.18308   75.32004   70.60145 ]","['s' 't' 's' 'd' 'd' 's' 's' 'd' 't' 'd' 'd' 't' 't' 's' 'd' 'd' 's' 's'
 'd' 'd' 'd' 'd']",61.43585270166913,138250
O=C(C=Cc1ccc(O)c(O)c1)OCC=C(CO)COC1OC(CO)C(O)C(O)C1O,"[168.38945  117.06595  144.56932  126.94862  121.73629  115.84287
 147.22392  146.90842  114.29078   63.343067 126.1397   145.05368
  60.597004  67.139565 103.06968   77.658455  61.72323   69.93357
  75.19646   72.88517 ]","['s' 'd' 'd' 's' 'd' 'd' 's' 's' 'd' 't' 'd' 's' 't' 't' 'd' 'd' 't' 'd'
 'd' 'd']",61.37637281992225,76832
O=C(Cc1ccc(O)c(O)c1)OCC1OC(OCC(=CCO)CO)C(O)C(O)C1O,"[175.08522   39.966484 125.41732  121.49105  115.78608  145.42372
 146.09164  117.80642   63.64244   74.983185 102.99798   67.13189
 141.96515  131.99623   60.107506  60.9021    72.05254   75.0891
  69.671364]","['s' 't' 's' 'd' 'd' 's' 's' 'd' 't' 'd' 'd' 't' 's' 'd' 't' 't' 'd' 'd'
 'd']",61.29627121709922,56227
Oc1ccc(CCCCC(CCc2ccc(O)c(O)c2)OC2OCC(O)C(O)C2O)cc1O,"[144.82587  115.61304  120.6982   135.00262   35.182434  28.873539
  23.90604   34.093246  80.61633   36.54636   31.757616 134.34207
 120.5243   115.69652  144.88016  145.60593  116.34948  102.952034
  65.298134  69.1661    75.82938   72.86763  116.242966 145.83527 ]","['s' 'd' 'd' 's' 't' 't' 't' 't' 'd' 't' 't' 's' 'd' 'd' 's' 's' 'd' 'd'
 't' 'd' 'd' 'd' 'd' 's']",61.23650095450715,106512
OCCc1ccc(OC2OC(CO)C(O)C(O)C2OC2OCC(O)(CO)C2O)c(O)c1,"[ 63.29784   38.060635 133.69583  121.815834 115.70081  145.99976
 101.7757    76.97305   61.883682  70.864334  75.51595   74.504654
 106.78892   73.44378   79.034454  64.313095  75.48095  147.5922
 119.96457 ]","['t' 't' 's' 'd' 'd' 's' 'd' 'd' 't' 'd' 'd' 'd' 'd' 't' 's' 't' 'd' 's'
 'd']",60.84643796635795,86450
OCC1OC(OC2CCC(c3ccc(O)c(O)c3)(c3ccc(O)c(O)c3)OC2)C(O)C(O)C1O,"[ 62.38517   76.68271  105.02794   73.06882   26.419966  35.828144
  80.97587  137.37848  119.08421  115.78455  146.91533  146.31017
 115.28639  137.47545  119.33362  115.63854  147.00578  146.0014
 115.22749   64.8038    72.71484   76.07215   70.531456]","['t' 'd' 'd' 'd' 't' 't' 's' 's' 'd' 'd' 's' 's' 'd' 's' 'd' 'd' 's' 's'
 'd' 't' 'd' 'd' 'd']",60.72183008264621,86542
O=C(CCc1ccc(O)cc1)CC(CCc1ccc(O)c(O)c1)OC1OCC(O)C(O)C1O,"[219.65749   46.06966   29.261875 132.72124  131.76921  115.94947
 156.47179  116.060104 131.61641   49.372387  75.152016  36.760174
  31.211214 133.92801  119.56629  115.46762  145.0551   146.29729
 116.43844  102.404564  65.612274  69.16036   75.44598   73.11638 ]","['s' 't' 't' 's' 'd' 'd' 's' 'd' 'd' 't' 'd' 't' 't' 's' 'd' 'd' 's' 's'
 'd' 'd' 't' 'd' 'd' 'd']",60.563351928591295,10821
O=C(CCc1ccc(O)c(O)c1)CC(CCc1ccc(O)c(O)c1)OC1OC(O)C(O)C(O)C1O,"[218.2184    45.47622   29.056227 132.5913   120.30751  116.06271
 145.57307  146.40858  116.816216  49.497196  75.21026   36.275555
  32.210564 134.38567  120.46729  116.04853  145.30856  146.60962
 116.76311  101.018875  95.85042   73.3155    74.70039   72.64339 ]","['s' 't' 't' 's' 'd' 'd' 's' 's' 'd' 't' 'd' 't' 't' 's' 'd' 'd' 's' 's'
 'd' 'd' 'd' 'd' 'd' 'd']",60.556744172184274,111353
